id;name;brand;description;unit_price;quantity
1;Steel;Assistant;cross-platform Principal;35091;34790
2;Chilean reboot Dynamic;Track actuating deposit;Soap withdrawal;40879;70307
3;partnerships Infrastructure;transmitting New Bedfordshire;Malagasy intranet;16516;29161
4;Small digital Oklahoma;orange Practical;Identity Dynamic Sports;86396;55869
5;Implementation Awesome;homogeneous Crossroad;Chips De-engineered Tunnel;5902;8723
6;tangible;Cheese Renminbi;Consultant online;80952;30021
7;Stand-alone Fantastic Sleek;AGP lavender;navigate brand up;56289;41021
8;Ergonomic Ergonomic;Handcrafted;relationships;78668;16025
9;National;Zimbabwe Games Balboa;transmit Incredible IB;52857;55509
10;Executive;magenta;National;85001;10899
