id;order_date;order_state_id;shipping_mode;shipping_fees;payment_mode;payment_fees
1;2021-09-09;PAYED;Cambridgeshire reboot Plastic;84661;object-oriented;54791
2;2021-09-08;SENT;deposit;56543;parsing Tools;13215
3;2021-09-08;PAYED;extend International;83309;Operations;82065
4;2021-09-09;VALIDATED;Bike systems back;89206;matrix Implementation;51286
5;2021-09-08;TO_SEND;tangible invoice;87815;empower Cambridgeshire groupware;56913
6;2021-09-08;TO_SEND;Berkshire alarm;25653;Towels SDD Secured;216
7;2021-09-08;TO_SEND;methodologies;91689;users Senegal;21604
8;2021-09-08;TO_SEND;Industrial Functionality navigating;82382;Clothing cultivate;17947
9;2021-09-08;VALIDATED;Garden web-enabled Market;76413;Orchestrator;54972
10;2021-09-08;TO_SEND;ivory bypass;56710;National;50905
