id;order_date;order_state;shipping_mode;shipping_fees;payment_mode;payment_fees;shipping_address;billing_address
1;2021-09-10;TO_SEND;Refined structure Gourde;41144;Pike;35818;card harness Web;matrix Avon
2;2021-09-10;VALIDATED;SMTP circuit;54833;Intelligent RSS;7874;Books Ergonomic;turquoise National Track
3;2021-09-10;PAYED;mobile;69792;Spring Dynamic;79497;bus Right-sized Liechtenstein;Baby hybrid
4;2021-09-11;TO_SEND;Ergonomic copying;29622;feed copy Rubber;91117;Village;Specialist Buckinghamshire
5;2021-09-10;TO_COMPLETE;Berkshire Portugal;73873;SQL connecting;71850;Greens;Incredible Car virtual
6;2021-09-10;PAYED;Intelligent lime PNG;61710;Steel Key;25059;user-centric;methodical
7;2021-09-10;VALIDATED;clicks-and-mortar contingency;5805;deposit Practical;58829;reboot Islands;Prairie JSON interactive
8;2021-09-11;TO_SEND;New neural Colon;23402;executive contextually-based Forward;83569;infomediaries Florida;invoice Avon feed
9;2021-09-10;TO_COMPLETE;Bacon Pizza Global;91395;AGP;41870;Rubber tan Investor;reintermediate
10;2021-09-10;PAYED;Account Buckinghamshire Analyst;3101;Avon Internal connecting;70879;Card;Card Colombia Hills
